# from	to	direction	protocol	channel	payload	trigger	profile	source	details
# direction: in/out/bidi from the deployment's point of view; internal for service-to-service. Node IDs from scripts/docs/services.tsv and externals.tsv.
ext_cameras	realtime	in	RTSP	rtsp:// URL per camera (from realtime-data config)	H.264/H.265 video	continuous	base	record_cli.py:15,96-97,129-134 (RTSP config shared with realtime; realtime's own ingest is TODO(source))	https://github.com/pacefactory/scv2_realtime/blob/main/docs/architecture/README.md
realtime	dbserver	internal	HTTP	dbserver:8050	object metadata and snapshots TODO(source)	continuous	base	compose/docker-compose.base.yml:232	https://github.com/pacefactory/scv2_realtime/blob/main/docs/architecture/README.md
realtime	pf_mosquitto	internal	MQTT	pf_mosquitto:1883	real-time object data	continuous	base	compose/docker-compose.base.yml:234-235	https://github.com/pacefactory/scv2_realtime/blob/main/docs/architecture/README.md
realtime	vol_dbserver_data	internal	file	/home/scv2/dbserver_volume (rw mount of dbserver-data)	snapshot files TODO(source)	continuous	base	compose/docker-compose.base.yml:236-239	https://github.com/pacefactory/scv2_realtime/blob/main/docs/architecture/README.md
data_interconnector	pf_mosquitto	internal	MQTT	pf_mosquitto:1883 (subscribe)	real-time object data	continuous	base	compose/docker-compose.base.yml:206-207	https://github.com/pacefactory/data_interconnector/blob/main/docs/architecture/README.md
data_interconnector	mongo	internal	MongoDB wire	mongo:27017	ingested object records	continuous	base	compose/docker-compose.base.yml:208-209	https://github.com/pacefactory/data_interconnector/blob/main/docs/architecture/README.md
data_interconnector	auditgui	internal	HTTP	auditgui:80 (disabled: PF_UISERVER_DISABLED=1)	audit config reads (currently disabled)	polling TODO(source)	base	compose/docker-compose.base.yml:210-212	https://github.com/pacefactory/data_interconnector/blob/main/docs/architecture/README.md
dbserver	mongo	internal	MongoDB wire	mongo:27017	object, snapshot and uistore records	on demand	base	compose/docker-compose.base.yml:158	https://github.com/pacefactory/scv2_dbserver/blob/main/docs/architecture/README.md
service_gifwrapper	dbserver	internal	HTTP	dbserver:8050	snapshot and object queries	on demand	base	compose/docker-compose.base.yml:288	https://github.com/pacefactory/scv2_services_gifwrapper/blob/main/docs/architecture/README.md
service_gifwrapper	vol_dbserver_data	internal	file	/home/scv2/volume (ro mount of dbserver-data)	snapshot JPEGs read directly when DBSERVER_DISABLE_SNAPSHOT_IMAGES=true	on demand	base	compose/docker-compose.base.yml:289-292	https://github.com/pacefactory/scv2_services_gifwrapper/blob/main/docs/architecture/README.md
service_dtreeserver	dbserver	internal	HTTP	dbserver:8050	object data for classification	on demand	base	compose/docker-compose.base.yml:305	https://github.com/pacefactory/scv2_services_dtreeserver/blob/main/docs/architecture/README.md
service_audit_processing	dbserver	internal	HTTP	dbserver:8050	source object reads; uistore segment and trend writes	polling (block schedule, PF_PROCESS_BLOCK_*)	base	compose/docker-compose.base.yml:324	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
service_audit_processing	auditgui	internal	HTTP	auditgui:80	audit config reads	polling	base	compose/docker-compose.base.yml:325	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
service_audit_processing	service_dtreeserver	internal	HTTP	service_dtreeserver:7272	classification requests	on event	base	compose/docker-compose.base.yml:326	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
service_audit_processing	pf_mosquitto	internal	MQTT	pf_mosquitto:1883 (PF_MQTT_URL)	segment export messages	on event	base	compose/docker-compose.base.yml:327	https://github.com/pacefactory/scv3_services_processing/blob/main/docs/architecture/README.md
apigateway	dbserver	internal	HTTP	dbserver:8050 (/api/dbserver)	proxied API calls	on demand	base	compose/docker-compose.base.yml:347-348	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	service_dtreeserver	internal	HTTP	service_dtreeserver:7272	proxied API calls	on demand	base	compose/docker-compose.base.yml:349-350	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	service_gifwrapper	internal	HTTP	service_gifwrapper:7171 (/api/gif)	proxied API calls	on demand	base	compose/docker-compose.base.yml:351-352	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	realtime	internal	HTTP	realtime:8181	proxied control-server API calls	on demand	base	compose/docker-compose.base.yml:353-354	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
apigateway	auditgui	internal	HTTP	auditgui:80 (/scv3, /api/uiserver)	proxied UI and API calls	on demand	base	compose/docker-compose.base.yml:355-356	https://github.com/pacefactory/scv2_apigateway/blob/main/docs/architecture/README.md
